x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc
42,-292,-23,-88,-437,-145
43,-291,-17,-30,-463,-156
43,-288,-7,21,-491,-163
33,-282,-5,54,-524,-173
28,-280,1,61,-563,-184
21,-282,-1,44,-613,-195
19,-281,-1,14,-666,-208
19,-276,-6,-13,-717,-226
15,-279,-10,-38,-756,-244
9,-275,-16,-51,-787,-267
8,-273,-16,-56,-818,-286
10,-265,-18,-55,-841,-304
15,-261,-22,-54,-858,-319
16,-254,-25,-58,-866,-330
16,-249,-24,-67,-869,-337
18,-242,-31,-79,-872,-336
17,-236,-30,-93,-874,-332
25,-234,-37,-111,-875,-322
27,-234,-35,-131,-870,-306
33,-232,-31,-144,-861,-290
31,-233,-27,-152,-853,-274
34,-231,-27,-150,-849,-256
34,-227,-18,-141,-852,-242
34,-226,-17,-127,-861,-227
33,-226,-19,-119,-870,-215
32,-225,-14,-122,-877,-201
34,-227,-13,-136,-884,-191
32,-225,-13,-150,-891,-186
30,-227,-15,-162,-897,-186
29,-228,-7,-170,-903,-189
33,-230,-13,-177,-908,-196
30,-230,-10,-185,-910,-202
33,-231,-6,-192,-910,-209
32,-231,-14,-198,-906,-218
30,-234,-10,-199,-904,-226
31,-234,-12,-196,-902,-231
33,-238,-10,-190,-900,-234
33,-236,-14,-183,-895,-236
30,-234,-12,-176,-889,-235
26,-230,-20,-169,-880,-233
33,-236,-7,-163,-871,-231
29,-236,-18,-155,-866,-224
29,-235,-17,-154,-862,-218
29,-234,-16,-156,-857,-209
27,-235,-14,-161,-853,-199
26,-236,-16,-167,-848,-189
29,-238,-18,-175,-843,-179
22,-238,-19,-182,-841,-170
24,-241,-15,-183,-840,-156
20,-241,-13,-181,-835,-145
20,-251,-21,-174,-829,-138
21,-246,-15,-167,-820,-127
18,-246,-10,-161,-812,-124
17,-251,-2,-152,-807,-120
17,-252,-3,-141,-803,-115
10,-250,-1,-128,-804,-112
9,-252,1,-115,-808,-107
8,-252,4,-95,-815,-103
5,-254,4,-75,-825,-96
7,-254,5,-52,-838,-91
5,-244,1,-27,-852,-84
4,-239,10,-2,-865,-80
4,-243,4,19,-877,-72
6,-235,2,35,-886,-66
8,-233,1,44,-896,-57
8,-246,-5,62,-33,-14
9,-248,-5,60,-33,-13
8,-243,-6,57,-32,-13
10,-247,1,54,-30,-13
9,-245,-6,53,-30,-15
11,-248,-9,52,-30,-12
8,-249,-6,52,-31,-11
6,-244,-10,55,-32,-11
7,-246,-3,55,-34,-10
6,-251,-8,57,-36,-5
5,-250,-3,57,-39,-3
2,-251,-5,60,-39,0
4,-254,-12,65,-39,3
7,-253,-3,69,-40,9
1,-252,5,75,-41,12
1,-249,-6,79,-41,17
4,-248,-9,82,-42,23
6,-248,-8,80,-44,25
2,-245,-12,78,-44,29
3,-245,-10,74,-48,29
1,-247,-9,69,-52,29
2,-245,-2,61,-57,29
3,-244,-3,56,-64,25
3,-243,-6,50,-71,21
-2,-245,-7,49,-80,15
0,-243,-8,50,-91,9
0,-243,-6,47,-102,2
-4,-240,-5,48,-113,-4
-6,-238,-6,49,-123,-15
-11,-239,-4,46,-134,-24
-17,-237,-2,48,-143,-34
-24,-238,3,48,-155,-45
-22,-240,5,50,-169,-54
-16,-239,6,43,-180,-64
-5,-245,2,24,-189,-71
0,-248,13,-10,-189,-72
1,-252,-1,-52,-188,-67
5,-256,1,-88,-189,-53
10,-262,-2,-111,-189,-37
12,-271,-3,-112,-186,-20
13,-277,-4,-91,-185,-2
13,-275,-5,-55,-183,14
11,-278,-10,-15,-182,31
9,-272,-8,21,-183,48
10,-268,-11,47,-186,59
13,-258,-14,61,-189,67
1,-254,-20,61,-192,69
0,-250,-17,49,-196,71
0,-246,-14,34,-199,68
-5,-246,-15,17,-205,65
-3,-243,-11,6,-208,61
-9,-238,-13,-1,-216,59
-14,-237,-10,-4,-224,56
-15,-232,-11,-4,-235,51
-16,-231,-10,-6,-245,50
-20,-230,-16,-11,-257,52
-15,-230,-11,-21,-266,55
-16,-225,-13,-40,-275,56
-14,-222,-10,-63,-285,57
-14,-227,-9,-89,-296,58
-13,-230,-8,-117,-311,59
-17,-232,-4,-140,-327,59
-14,-234,-7,-166,-344,61
-17,-234,-12,-189,-360,66
-20,-235,-14,-212,-372,71
-20,-238,-24,-230,-390,78
-20,-246,-20,-244,-414,83
-31,-248,-36,-254,-444,88
-31,-246,-35,-258,-475,95
-35,-247,-39,-264,-503,100
-37,-246,-39,-270,-526,107
-41,-245,-40,-277,-545,111
-42,-246,-41,-286,-564,114
-42,-243,-38,-294,-584,115
-44,-241,-33,-296,-607,109
-39,-239,-36,-296,-634,101
-39,-232,-31,-295,-659,92
-38,-230,-22,-293,-681,80
-35,-225,-27,-291,-696,72
-27,-220,-20,-289,-701,63
-21,-220,-19,-289,-692,58
-16,-217,-16,-294,-680,52
-8,-217,-12,-307,-666,46
0,-216,-11,-327,-653,40
4,-218,-3,-346,-638,31
15,-225,2,-363,-620,25
18,-230,2,-372,-599,17
24,-232,4,-373,-576,8
30,-240,3,-370,-550,3
31,-245,1,-369,-522,-4
35,-244,0,-371,-495,-8
36,-249,1,-380,-473,-11
36,-253,1,-395,-455,-14
33,-259,-1,-409,-440,-23
27,-263,1,-420,-426,-32
24,-264,2,-427,-412,-43
16,-270,5,-432,-400,-55
14,-271,4,-429,-392,-72
6,-270,3,-420,-390,-87
5,-269,2,-406,-393,-104
5,-273,1,-392,-400,-121
-10,-269,3,-373,-411,-138
-13,-270,4,-355,-426,-153
-16,-269,5,-338,-448,-166
-24,-268,6,-318,-477,-177
-32,-262,9,-296,-512,-186
-32,-262,13,-274,-549,-193
-38,-260,14,-251,-592,-200
-44,-259,13,-222,-637,-207
-48,-257,15,-193,-682,-209
-58,-253,12,-169,-726,-209
-52,-255,16,-152,-767,-210
-52,-249,16,-146,-809,-212
-52,-247,14,-145,-852,-213
-51,-246,17,-151,-899,-215
-47,-245,13,-158,-944,-219
-50,-244,19,-167,-991,-225
-48,-251,20,-172,-1039,-230
-48,-248,11,-175,-1086,-235
-50,-246,15,-177,-1135,-242
-46,-245,13,-175,-1179,-249
-44,-247,10,-174,-1219,-255
-43,-245,5,-177,-1254,-260
-43,-243,0,-188,-1287,-264
-42,-240,2,-205,-1317,-267
-44,-238,1,-230,-1344,-269
-43,-243,-1,-251,-1369,-270
-41,-238,-1,-269,-1394,-276
-39,-242,-4,-283,-1415,-281
-39,-241,-3,-292,-1433,-285
-41,-240,-5,-297,-1450,-286
-51,-239,-8,-296,-1465,-288
-53,-237,-10,-295,-1480,-286
-55,-240,-11,-290,-1498,-284
-59,-240,-14,-282,-1517,-280
-65,-239,-19,-273,-1533,-275
-71,-241,-17,-257,-1553,-273
-77,-240,-23,-235,-1569,-270
-79,-235,-19,-210,-1593,-267
-83,-234,-24,-182,-1616,-263
-91,-234,-20,-155,-1639,-258
-92,-239,-14,-129,-1656,-253
-96,-236,-1,-108,-1665,-245
-95,-237,-3,-90,-1666,-240
-81,-239,1,-80,-1660,-237
-66,-238,0,-72,-1644,-243
-64,-240,1,-66,-1613,-255
-60,-238,1,-61,-1570,-274
-60,-236,5,-52,-1528,-299
-62,-238,1,-37,-1488,-328
-66,-229,1,-14,-1463,-353
-59,-227,-4,10,-1457,-375
-59,-219,-29,15,-1455,-387
-49,-215,-41,-9,-1459,-380
-38,-208,-76,-71,-1465,-364
-26,-200,-105,-174,-1460,-345
-13,-198,-128,-323,-1420,-315
0,-195,-148,-501,-1354,-287
14,-197,-162,-678,-1270,-260
22,-203,-171,-836,-1193,-232
35,-215,-183,-960,-1130,-201
44,-225,-180,-1040,-1081,-171
49,-240,-172,-1062,-1035,-134
40,-258,-162,-1012,-983,-99
35,-267,-132,-881,-933,-72
39,-265,-99,-680,-914,-48
50,-261,-69,-449,-957,-29
67,-263,-48,-237,-1054,-7
77,-261,-30,-77,-1163,2
71,-265,-28,20,-1248,-3
63,-270,-40,47,-1298,-24
44,-280,-57,-8,-1314,-34
26,-299,-73,-123,-1313,-58
5,-319,-100,-267,-1303,-98
-7,-345,-109,-398,-1285,-158
-10,-363,-110,-488,-1270,-234
-14,-374,-111,-526,-1256,-326
-13,-383,-106,-521,-1233,-424
-4,-382,-96,-489,-1199,-518
3,-370,-76,-442,-1169,-597
8,-351,-61,-377,-1155,-651
19,-339,-49,-299,-1161,-674
30,-322,-40,-214,-1168,-666
33,-310,-26,-127,-1168,-635
37,-297,-21,-41,-1165,-585
34,-277,-17,44,-1162,-533
30,-271,-21,119,-1166,-489
23,-257,-14,185,-1185,-456
18,-247,-19,245,-1212,-431
4,-230,-24,299,-1247,-413
-3,-221,-26,339,-1290,-407
-6,-209,-31,359,-1338,-411
-17,-193,-34,349,-1385,-427
-22,-187,-39,314,-1420,-451
-24,-174,-42,248,-1438,-475
-26,-169,-46,160,-1437,-502
-23,-157,-49,64,-1425,-536
-11,-147,-54,-43,-1398,-564
1,-138,-58,-164,-1354,-587
11,-128,-62,-297,-1296,-606
6,-250,-27,54,15,-12
6,-245,-20,53,13,-10
4,-247,-23,53,12,-11
1,-250,-24,53,11,-10
6,-248,-21,54,10,-10
2,-246,-23,54,10,-9
5,-251,-22,54,8,-6
4,-245,-16,52,8,-5
2,-248,-21,52,7,-5
7,-249,-24,51,9,-5
5,-247,-18,50,10,-5
3,-246,-22,51,10,-7
1,-249,-24,52,11,-9
4,-246,-25,53,12,-8
5,-245,-21,53,12,-10
2,-246,-22,52,12,-12
2,-246,-23,51,12,-12
4,-247,-23,50,13,-11
2,-245,-23,50,14,-11
2,-247,-22,49,14,-12
4,-251,-17,49,14,-12
3,-249,-23,49,14,-13
3,-248,-23,50,13,-13
4,-244,-24,52,13,-13
6,-252,-18,54,15,-11
4,-248,-22,55,15,-12
3,-246,-25,55,15,-11
4,-248,-25,56,16,-11
4,-248,-24,56,16,-11
6,-248,-20,56,16,-10
4,-247,-25,56,15,-11
3,-246,-25,56,14,-11
4,-251,-25,53,15,-8
1,-245,-24,51,16,-8
2,-244,-22,50,14,-7
4,-254,-30,48,14,-6
3,-245,-22,48,14,-6
3,-250,-23,47,13,-8
2,-247,-22,48,14,-8
5,-248,-27,47,12,-8
2,-247,-23,47,11,-10
1,-245,-28,48,9,-12
1,-246,-22,49,9,-13
4,-249,-26,48,9,-13
4,-247,-20,47,9,-14
1,-246,-34,47,9,-14
5,-246,-24,47,9,-15
2,-245,-22,47,11,-15
1,-248,-25,44,11,-13
5,-249,-24,43,11,-14
5,-247,-23,43,12,-13
2,-248,-23,43,12,-13
3,-249,-24,42,12,-13
6,-245,-24,42,11,-13
2,-249,-24,42,11,-12
6,-251,-21,45,9,-12
4,-244,-17,47,10,-13
1,-246,-28,47,9,-14
2,-246,-19,50,9,-14
3,-250,-27,52,9,-13
3,-248,-24,54,8,-13
3,-248,-23,55,8,-13
1,-245,-22,57,7,-15
4,-244,-24,57,9,-14
3,-244,-28,54,9,-12
4,-247,-26,51,8,-13
2,-247,-25,47,8,-12
0,-251,-30,44,8,-10
3,-249,-24,41,8,-12
3,-249,-24,39,9,-11
0,-244,-25,40,9,-10
3,-247,-24,40,9,-11
1,-245,-27,44,10,-12
1,-247,-26,46,11,-12
6,-248,-19,50,11,-13
7,-247,-23,53,10,-15
2,-245,-22,56,12,-15
1,-249,-24,57,11,-16
1,-246,-21,57,11,-15
5,-247,-22,55,11,-15
4,-247,-23,54,11,-14
1,-246,-19,52,12,-14
2,-249,-22,52,11,-14
4,-245,-20,50,10,-14
1,-247,-24,47,9,-13
2,-245,-22,46,9,-12
2,-246,-25,46,9,-12
2,-246,-19,46,10,-10
1,-252,-24,44,9,-11
4,-249,-20,44,9,-10
4,-249,-22,43,9,-10
3,-248,-22,42,9,-10
5,-250,-19,40,9,-11
4,-247,-19,38,10,-11
3,-245,-20,38,9,-14
4,-248,-20,37,11,-14
6,-250,-24,36,10,-13
3,-247,-25,36,10,-13
1,-249,-23,36,10,-15
4,-246,-27,37,11,-15
4,-249,-21,40,11,-14
1,-248,-22,41,13,-11
4,-248,-23,41,13,-9
3,-250,-22,42,13,-10
5,-249,-22,43,14,-11
3,-245,-23,43,15,-11
6,-247,-25,46,16,-13
2,-245,-24,50,17,-12
4,-250,-24,49,18,-12
2,-247,-26,50,17,-12
3,-247,-22,50,18,-13
5,-246,-28,50,18,-12
0,-245,-21,49,18,-13
3,-247,-26,48,14,-12
5,-252,-25,46,15,-12
3,-247,-29,44,14,-11
4,-246,-24,42,12,-11
2,-247,-26,42,11,-11
2,-249,-28,41,9,-11
5,-249,-25,38,8,-12
2,-246,-26,37,8,-12
4,-248,-26,35,8,-12
0,-250,-25,34,10,-15
5,-247,-27,33,12,-16
1,-249,-25,34,11,-17
1,-248,-25,36,14,-17
4,-246,-27,38,13,-17
1,-243,-30,42,16,-18
4,-245,-27,44,14,-17
3,-247,-27,45,15,-15
6,-247,-32,43,13,-15
3,-246,-29,40,12,-14
3,-242,-27,36,10,-13
4,-245,-23,29,8,-13
4,-246,-24,24,8,-13
5,-245,-29,19,5,-12
4,-246,-26,14,4,-12
4,-246,-28,11,4,-12
6,-245,-24,8,2,-11
3,-246,-27,6,4,-11
5,-248,-27,4,7,-13
0,-244,-27,1,10,-13
2,-245,-29,-4,15,-14
5,-249,-29,-7,20,-15
3,-247,-25,-7,27,-16
5,-248,-29,-7,35,-16
4,-246,-30,-6,40,-16
6,-247,-29,-7,44,-16
4,-244,-29,-6,47,-17
5,-243,-32,-12,49,-16
3,-247,-26,-22,48,-17
2,-242,-27,-31,47,-16
4,-240,-21,-43,46,-15
4,-246,-26,-58,44,-17
1,-242,-23,-70,39,-16
1,-244,-21,-81,36,-16
3,-242,-23,-89,32,-16
1,-242,-25,-97,28,-14
4,-242,-25,-104,29,-15
3,-245,-23,-108,25,-15
2,-242,-22,-107,26,-16
1,-246,-21,-105,25,-19
1,-248,-23,-104,26,-20
1,-244,-27,-107,26,-22
1,-242,-17,-114,24,-28
-2,-240,-21,-127,21,-32
0,-246,-19,-139,19,-35
2,-248,-24,-139,26,-34
0,-246,-20,-135,27,-30
4,-246,-17,-133,28,-30
4,-248,-19,-130,27,-30
1,-242,-23,-126,23,-32
5,-243,-20,-125,20,-32
2,-239,-23,-125,17,-31
5,-243,-21,-132,13,-33
5,-244,-20,-138,8,-36
2,-244,-27,-148,6,-37
3,-241,-27,-160,4,-38
7,-242,-26,-175,2,-42
7,-246,-29,-190,1,-47
7,-241,-28,-202,2,-48
5,-240,-30,-215,3,-49
5,-239,-22,-228,4,-50
4,-243,-24,-243,6,-51
10,-240,-28,-256,8,-48
3,-239,-30,-268,14,-49
6,-244,-28,-285,15,-56
9,-243,-31,-300,18,-59
9,-241,-30,-314,19,-60
7,-241,-30,-326,20,-62
11,-242,-31,-337,18,-64
9,-241,-30,-350,16,-66
4,-240,-34,-364,12,-62
10,-244,-36,-379,9,-57
4,-241,-34,-395,7,-50
5,-243,-31,-416,2,-48
7,-239,-37,-436,-4,-46
7,-241,-37,-454,-8,-43
4,-239,-36,-468,-12,-42
5,-247,-35,-482,-16,-37
-6,-111,213,54,10,-8
-2,-113,215,57,10,-9
-2,-108,215,59,13,-9
1,-118,219,62,17,-10
-4,-110,216,66,20,-12
-3,-111,215,67,23,-11
-2,-112,217,68,24,-12
-4,-108,214,69,25,-12
-2,-114,212,70,25,-10
-2,-112,217,72,24,-10
-7,-112,216,73,24,-10
-5,-113,216,74,24,-9
-5,-107,218,75,24,-8
-7,-114,219,78,24,-9
-5,-115,219,83,24,-7
-7,-113,217,91,23,-8
-4,-113,215,99,24,-8
-9,-114,216,108,23,-8
-3,-114,219,118,22,-7
-6,-116,213,128,21,-7
-6,-111,221,135,21,-8
-7,-109,217,140,21,-9
-4,-112,221,143,24,-7
-8,-111,217,142,24,-7
1,-107,224,140,26,-6
-4,-111,218,134,28,-5
-5,-110,221,130,30,-5
-5,-111,222,124,31,-3
-6,-109,220,117,31,-4
-8,-107,219,110,31,-3
-6,-108,223,105,32,-2
-8,-110,224,101,30,-1
-5,-108,221,95,30,-2
-7,-106,218,94,30,-2
-4,-109,224,91,30,-2
-2,-111,224,91,30,-3
-6,-107,221,93,31,-5
-6,-107,225,95,31,-6
-4,-108,222,99,31,-7
-7,-106,223,101,29,-10
-5,-109,222,106,29,-9
-4,-109,219,111,28,-10
-6,-108,224,115,27,-10
-4,-108,221,119,24,-12
-6,-109,222,122,22,-11
-4,-108,220,124,18,-11
-12,-108,222,123,16,-11
-5,-110,218,122,15,-10
-7,-107,220,122,13,-9
-8,-108,222,120,13,-8
-7,-110,223,118,14,-8
-5,-108,223,117,15,-9
-7,-108,223,117,17,-10
-4,-110,223,117,19,-9
-4,-108,219,117,23,-7
-6,-107,220,119,25,-7
-5,-104,222,120,27,-8
-12,-109,217,121,29,-9
-5,-109,228,123,31,-5
-5,-109,224,124,31,-5
-6,-108,222,124,32,-4
-9,-105,224,125,31,-4
-5,-106,225,123,31,-3
-6,-106,224,120,31,-2
-5,-107,223,117,30,-3
-6,-108,217,114,27,-2
-8,-103,222,111,28,-1
-4,-108,223,108,28,-2
-8,-106,224,104,30,-1
-5,-106,223,101,32,-2
-4,-109,220,97,33,-4
-7,-106,224,93,34,-3
-7,-108,223,91,35,-3
-8,-104,224,89,35,-2
-7,-108,224,89,36,-5
-5,-108,224,89,36,-5
-6,-109,224,90,37,-5
-5,-107,222,89,37,-6
-10,-107,226,90,37,-6
-8,-102,229,92,36,-7
-5,-104,224,93,34,-7
-6,-104,225,97,32,-7
-4,-105,223,98,31,-6
-10,-103,225,100,29,-7
-8,-104,224,102,28,-7
-9,-104,219,104,26,-9
-9,-107,227,107,26,-8
-6,-101,223,107,26,-7
-9,-105,227,108,28,-9
-5,-108,228,110,28,-9
-1,-108,236,108,27,-9
-9,-108,226,109,29,-7
-7,-109,226,110,28,-8
-9,-104,229,110,27,-7
-4,-105,226,110,25,-7
-7,-108,229,113,24,-7
-7,-108,225,114,22,-6
-9,-105,225,113,22,-6
-6,-105,220,114,23,-6
-7,-106,220,115,24,-5
-4,-108,221,117,25,-5
-8,-108,220,119,27,-4
-6,-106,216,121,30,-2
-7,-106,220,123,30,-2
-7,-105,221,125,29,-2
-5,-106,221,129,29,-3
-6,-105,220,131,29,-3
-7,-103,224,133,29,-3
-4,-101,223,135,26,-4
-5,-102,221,136,25,-3
-5,-106,221,135,24,-3
-6,-100,223,135,23,-5
-4,-102,222,132,23,-4
-2,-103,222,128,23,-3
-6,-100,221,123,25,-5
-8,-100,221,117,26,-4
-8,-104,223,111,27,-4
-6,-100,225,104,30,-4
-5,-101,227,98,32,-4
-7,-101,232,93,32,-5
-8,-103,223,88,33,-5
-8,-105,232,83,33,-4
-3,-104,223,80,32,-5
-8,-100,224,77,32,-5
-9,-101,228,75,32,-6
-10,-101,228,74,30,-5
-9,-101,229,73,29,-7
-8,-105,225,74,27,-6
-9,-101,228,74,27,-7
-9,-103,223,76,26,-5
-9,-103,226,78,26,-6
-6,-102,229,81,25,-7
-6,-102,222,83,24,-8
-3,-107,225,84,24,-7
-12,-101,225,87,23,-8
-9,-102,225,89,25,-7
-8,-101,227,90,23,-8
-8,-103,228,91,22,-8
-5,-106,224,89,21,-7
-8,-103,224,89,21,-9
-9,-97,224,89,21,-7
-8,-104,223,88,19,-9
-10,-104,227,86,17,-7
-8,-102,226,84,15,-9
-13,-104,229,82,14,-7
-8,-100,227,78,13,-5
-11,-101,227,74,12,-8
-8,-103,226,67,11,-10
-9,-100,227,62,13,-11
-9,-102,227,57,13,-11
-10,-104,224,52,15,-9
-12,-101,226,47,16,-9
-12,-101,230,44,18,-9
-10,-105,225,42,20,-9
-12,-98,229,38,22,-10
-8,-103,234,38,23,-9
-9,-99,225,36,24,-9
-10,-101,226,34,24,-9
-10,-103,228,35,24,-9
-10,-101,226,35,25,-11
-7,-101,225,38,26,-9
-7,-102,230,41,26,-12
-11,-101,226,43,26,-10
-9,-102,225,45,26,-9
-4,-99,223,48,24,-9
-12,-102,227,51,23,-9
-14,-100,219,53,20,-9
-5,-102,226,57,18,-9
-6,-105,226,60,17,-9
-11,-100,228,61,16,-11
-9,-100,228,62,15,-11
-12,-102,227,62,15,-10
-9,-101,225,62,13,-9
-9,-101,224,62,13,-9
-8,-100,225,59,12,-10
-6,-98,229,57,13,-10
-6,-103,226,53,11,-10
-14,-97,225,50,13,-11
-12,-99,224,47,12,-11
-10,-100,227,45,13,-12
-10,-98,226,42,12,-11
-5,-100,225,41,11,-13
-9,-101,226,39,12,-11
-12,-100,227,37,12,-11
-9,-99,228,36,13,-12
-10,-100,227,36,11,-13
-4,-102,223,34,11,-12
-5,-96,228,34,10,-10
-8,-97,223,33,11,-12
-7,-99,227,31,9,-12
-12,-100,224,32,10,-10
-7,-106,223,31,11,-8
-9,-104,225,30,12,-8
-9,-105,226,31,12,-9
-9,-103,224,30,13,-8
-11,-103,226,32,13,-9
-9,-101,222,34,13,-9
-12,-100,230,36,14,-9
-9,-100,228,39,13,-9
-15,-100,230,40,12,-11
