0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.75,-30.5,-2.125,0.513,0.50175,0.49875,1.375,-30.625,-2.5,0.51275,0.50225,0.49875,1.125,-30.375,-1.75,0.5125,0.5025,0.49875,0.875,-30.25,-2.25,0.51275,0.5025,0.49825
0.625,-28.875,-10.125,0.50975,0.489,0.49325,0.625,-28.625,-9.5,0.50975,0.48875,0.4925,0.75,-29.25,-10.125,0.50975,0.4885,0.49225,0.5,-28.875,-10.125,0.50975,0.488,0.4915
-0.25,-12.625,28.75,0.515,0.50425,0.49775,-0.875,-12.0,29.0,0.51525,0.504,0.49725,-0.625,-12.0,29.0,0.5155,0.50375,0.49725,-1.0,-12.25,28.875,0.5155,0.50375,0.4975
1.0,-30.125,-2.875,0.511,0.5035,0.49575,0.875,-30.375,-2.875,0.51125,0.50375,0.49625,1.25,-30.375,-3.5,0.51075,0.50325,0.49625,0.875,-30.25,-3.125,0.51,0.503,0.4965
-8.375,-29.625,-1.625,0.43575,0.11175,0.43175,-9.125,-29.5,-2.375,0.44125,0.10775,0.4325,-9.375,-28.875,-1.875,0.4475,0.10175,0.43325,-9.875,-28.75,-2.5,0.4545,0.096,0.43425
0.75,-28.375,-9.5,0.51025,0.502,0.49725,1.125,-28.75,-9.75,0.51,0.50225,0.497,1.0,-28.875,-9.875,0.50975,0.50225,0.497,0.875,-28.75,-9.5,0.50925,0.5025,0.4975
-7.875,-29.125,3.0,0.5025,0.327,0.453,-8.125,-30.125,1.0,0.49625,0.32025,0.45575,-7.875,-30.0,0.5,0.489,0.31525,0.45925,-7.75,-31.25,0.25,0.4805,0.311,0.464
5.875,-35.875,-1.625,0.4925,0.38425,0.461,5.875,-35.5,-0.375,0.50525,0.37725,0.45925,4.625,-34.75,-0.125,0.5135,0.369,0.45675,4.0,-34.5,0.625,0.51525,0.35925,0.454
0.125,-32.375,-3.375,0.4085,0.389,0.49225,0.75,-32.875,-3.75,0.417,0.393,0.48725,1.5,-33.875,-3.875,0.425,0.39725,0.482,2.25,-33.5,-3.5,0.433,0.40025,0.478
-1.375,-28.25,-0.875,0.49475,0.4335,0.51375,-1.5,-27.625,-1.125,0.49,0.43125,0.514,-1.25,-27.25,-0.75,0.48425,0.42875,0.51425,-1.25,-27.875,-0.625,0.47775,0.426,0.5145
4.5,-27.625,-1.25,0.4695,0.28075,0.44975,4.75,-27.875,-1.125,0.466,0.279,0.45225,4.5,-27.625,-1.125,0.4625,0.27725,0.4535,4.25,-27.875,-1.375,0.4595,0.27575,0.4535
-0.75,-11.75,28.75,0.5105,0.503,0.49725,-0.125,-12.0,28.625,0.51025,0.50275,0.49675,-0.625,-12.125,28.75,0.50975,0.503,0.49725,-1.0,-12.0,28.875,0.50925,0.503,0.49725
-0.5,-12.75,28.5,0.526,0.5075,0.49975,-0.125,-12.75,28.375,0.52525,0.508,0.4995,0.0,-13.125,28.0,0.52425,0.50825,0.499,-0.375,-12.75,28.5,0.52325,0.5085,0.49925
0.875,-30.625,-2.5,0.51025,0.502,0.497,0.875,-30.625,-2.5,0.50975,0.50225,0.49725,0.5,-30.0,-2.625,0.51,0.50225,0.4975,0.875,-30.375,-2.5,0.51,0.50225,0.49725
-0.625,-12.125,29.0,0.5185,0.50675,0.49825,-0.625,-12.375,28.375,0.519,0.5065,0.49875,-0.625,-12.375,28.75,0.5195,0.5065,0.4985,-0.25,-12.25,29.125,0.52025,0.50625,0.49825
4.5,-28.375,-1.25,0.4505,0.2735,0.4455,4.25,-28.75,-0.75,0.45025,0.274,0.4435,4.375,-28.75,-1.0,0.451,0.2745,0.44225,4.625,-29.25,-0.75,0.4525,0.275,0.4415
0.875,-29.75,-2.375,0.47775,0.508,0.496,0.625,-29.75,-2.625,0.47575,0.507,0.4965,1.0,-29.75,-2.625,0.474,0.50725,0.49625,0.875,-30.125,-2.375,0.473,0.50625,0.49625
1.25,-30.5,-2.125,0.5135,0.5025,0.4975,0.75,-30.25,-2.375,0.5135,0.5025,0.49775,1.125,-30.875,-2.25,0.5135,0.502,0.4985,1.0,-30.125,-1.5,0.513,0.502,0.49875
