x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc,Azimuth,Pitch,Roll,Sisfall_Label_X4
5,-253,4,-148,-684,167,9,-1042,38,0
11,-256,4,-144,-676,155,17,-1050,37,0
17,-254,7,-147,-666,147,29,-1053,34,0
21,-258,15,-152,-647,135,39,-1066,40,0
20,-260,6,-155,-623,122,55,-1065,44,0
23,-258,11,-150,-594,108,65,-1077,53,0
25,-258,12,-136,-559,91,71,-1069,63,0
26,-257,17,-113,-526,72,70,-1071,73,0
24,-257,19,-84,-496,53,67,-1061,85,0
22,-255,20,-51,-470,31,57,-1047,87,0
13,-253,13,-19,-451,7,36,-1035,83,0
5,-246,16,10,-439,-16,8,-1019,85,0
2,-243,11,30,-435,-40,-14,-1004,75,0
-8,-235,17,39,-434,-61,-48,-992,65,0
-12,-237,9,40,-442,-83,-72,-982,55,0
-22,-237,9,34,-456,-100,-107,-972,43,0
-31,-234,9,26,-475,-118,-141,-965,40,0
-40,-233,6,20,-499,-135,-174,-960,40,0
-51,-229,5,18,-524,-149,-210,-956,36,0
-57,-228,8,23,-549,-163,-253,-951,46,0
-64,-230,13,31,-575,-175,-278,-957,57,0
-66,-228,13,36,-604,-182,-291,-954,63,0
-69,-233,12,36,-633,-190,-299,-956,61,0
-67,-237,16,27,-663,-192,-303,-965,56,0
-67,-237,20,10,-692,-188,-306,-983,44,0
-69,-245,4,-15,-719,-177,-296,-993,32,0
-67,-244,0,-44,-739,-163,-291,-1018,11,0
-66,-254,-2,-78,-756,-144,-290,-1049,-15,0
-66,-257,-8,-106,-769,-122,-290,-1072,-25,0
-65,-264,-9,-118,-783,-101,-279,-1096,-25,0
-61,-270,-9,-109,-797,-80,-266,-1111,-32,0
-57,-276,-4,-79,-806,-62,-242,-1125,-20,0
-45,-276,-3,-36,-804,-46,-196,-1129,-7,0
-35,-280,-2,5,-786,-33,-158,-1124,4,0
-21,-272,4,38,-763,-23,-117,-1117,16,0
-5,-269,0,64,-747,-11,-85,-1110,25,0
-3,-267,2,81,-732,1,-47,-1106,35,0
1,-266,8,101,-717,13,-11,-1097,35,0
10,-265,6,121,-698,22,12,-1086,43,0
16,-259,6,146,-676,24,36,-1075,41,0
21,-255,7,177,-647,22,59,-1067,37,0
27,-253,4,211,-617,18,73,-1042,31,0
31,-249,2,247,-589,11,84,-1016,11,0
25,-243,2,275,-561,1,87,-997,6,0
25,-237,-7,298,-531,-12,84,-968,-11,0
24,-233,-10,310,-502,-25,79,-953,-27,0
20,-231,-17,310,-469,-37,72,-945,-41,0
20,-224,-24,297,-441,-52,56,-924,-57,0
14,-216,-24,272,-414,-64,35,-914,-83,0
6,-211,-28,238,-395,-72,16,-895,-95,0
1,-212,-34,195,-381,-78,-7,-881,-118,0
-6,-210,-37,142,-370,-78,-29,-878,-141,0
-9,-206,-44,83,-363,-73,-62,-869,-150,0
-17,-210,-46,19,-361,-63,-96,-863,-155,0
-27,-205,-39,-48,-361,-48,-119,-862,-161,0
-34,-211,-45,-116,-369,-29,-136,-869,-160,0
-36,-215,-39,-183,-384,-12,-153,-883,-148,0
-38,-222,-35,-241,-407,5,-170,-906,-140,0
-39,-225,-38,-293,-431,19,-170,-929,-136,0
-34,-229,-42,-335,-451,23,-164,-959,-142,0
-31,-239,-42,-370,-462,23,-144,-980,-151,0
-26,-248,-45,-394,-465,15,-127,-1011,-150,0
-19,-251,-41,-401,-461,3,-95,-1028,-145,0
-9,-258,-36,-392,-455,-13,-57,-1066,-136,0
-3,-263,-31,-366,-444,-31,-27,-1088,-126,0
2,-267,-34,-332,-428,-51,-4,-1113,-119,0
8,-275,-35,-300,-411,-72,23,-1140,-109,0
14,-272,-32,-268,-399,-88,51,-1159,-111,0
20,-288,-31,-234,-394,-105,69,-1174,-115,0
28,-291,-32,-194,-400,-121,89,-1177,-113,0
36,-291,-30,-144,-416,-134,116,-1179,-102,0
42,-292,-23,-88,-437,-145,132,-1180,-79,0
43,-291,-17,-30,-463,-156,142,-1180,-49,0
43,-288,-7,21,-491,-163,137,-1170,-21,0
33,-282,-5,54,-524,-173,124,-1161,-1,0
28,-280,1,61,-563,-184,104,-1152,6,0
21,-282,-1,44,-613,-195,71,-1150,11,0
19,-281,-1,14,-666,-208,57,-1146,3,0
19,-276,-6,-13,-717,-226,41,-1151,-6,0
15,-279,-10,-38,-756,-244,28,-1155,-22,0
9,-275,-16,-51,-787,-267,16,-1144,-31,0
8,-273,-16,-56,-818,-286,15,-1127,-51,0
10,-265,-18,-55,-841,-304,25,-1107,-59,0
15,-261,-22,-54,-858,-319,34,-1078,-67,0
16,-254,-25,-58,-866,-330,41,-1054,-82,0
16,-249,-24,-67,-869,-337,45,-1025,-83,0
18,-242,-31,-79,-872,-336,45,-1005,-103,0
17,-236,-30,-93,-874,-332,61,-985,-110,0
25,-234,-37,-111,-875,-322,78,-972,-117,0
27,-234,-35,-131,-870,-306,88,-966,-120,0
33,-232,-31,-144,-861,-290,102,-960,-110,0
31,-233,-27,-152,-853,-274,109,-955,-98,0
34,-231,-27,-150,-849,-256,109,-953,-79,0
34,-227,-18,-141,-852,-242,115,-945,-61,0
34,-226,-17,-127,-861,-227,110,-938,-48,0
33,-226,-19,-119,-870,-215,107,-935,-47,0
32,-225,-14,-122,-877,-201,103,-938,-45,0
34,-227,-13,-136,-884,-191,106,-932,-43,0
32,-225,-13,-150,-891,-186,101,-935,-40,0
30,-227,-15,-162,-897,-186,97,-934,-36,0
29,-228,-7,-170,-903,-189,96,-937,-34,0
33,-230,-13,-177,-908,-196,103,-944,-37,0
30,-230,-10,-185,-910,-202,96,-946,-35,0
33,-231,-6,-192,-910,-209,93,-947,-31,0
32,-231,-14,-198,-906,-218,99,-957,-34,0
30,-234,-10,-199,-904,-226,95,-962,-36,0
31,-234,-12,-196,-902,-231,95,-966,-34,0
33,-238,-10,-190,-900,-234,100,-962,-30,0
33,-236,-14,-183,-895,-236,100,-969,-30,0
30,-234,-12,-176,-889,-235,99,-968,-31,0
26,-230,-20,-169,-880,-233,96,-966,-33,0
33,-236,-7,-163,-871,-231,95,-969,-35,0
29,-236,-18,-155,-866,-224,96,-968,-42,0
29,-235,-17,-154,-862,-218,93,-970,-45,0
29,-234,-16,-156,-857,-209,94,-965,-41,0
27,-235,-14,-161,-853,-199,89,-966,-45,0
26,-236,-16,-167,-848,-189,82,-972,-48,0
29,-238,-18,-175,-843,-179,79,-973,-49,0
22,-238,-19,-182,-841,-170,72,-981,-47,0
24,-241,-15,-183,-840,-156,69,-991,-51,0
20,-241,-13,-181,-835,-145,64,-998,-47,0
20,-251,-21,-174,-829,-138,60,-1007,-42,0
21,-246,-15,-167,-820,-127,58,-1005,-37,0
18,-246,-10,-161,-812,-124,56,-1018,-37,0
17,-251,-2,-152,-807,-120,44,-1026,-26,0
17,-252,-3,-141,-803,-115,37,-1029,-6,0
10,-250,-1,-128,-804,-112,35,-1028,2,0
9,-252,1,-115,-808,-107,23,-1026,12,0
8,-252,4,-95,-815,-103,10,-1030,18,0
5,-254,4,-75,-825,-96,5,-1034,24,0
7,-254,5,-52,-838,-91,9,-1028,32,0
5,-244,1,-27,-852,-84,5,-1018,35,0
4,-239,10,-2,-865,-80,0,-1004,37,0
4,-243,4,19,-877,-72,-1,-990,39,0
6,-235,2,35,-886,-66,1,-976,29,0
8,-233,1,44,-896,-57,6,-961,34,0
8,-246,-5,62,-33,-14,16,-1012,-7,0
9,-248,-5,60,-33,-13,17,-1016,-9,0
8,-243,-6,57,-32,-13,15,-1009,-6,0
10,-247,1,54,-30,-13,17,-1018,-5,0
9,-245,-6,53,-30,-15,19,-1016,-11,0
11,-248,-9,52,-30,-12,16,-1016,-11,0
8,-249,-6,52,-31,-11,8,-1021,-11,0
6,-244,-10,55,-32,-11,9,-1021,-17,0
7,-246,-3,55,-34,-10,4,-1028,-15,0
6,-251,-8,57,-36,-5,3,-1028,-7,0
5,-250,-3,57,-39,-3,3,-1028,-7,0
2,-251,-5,60,-39,0,-5,-1026,-17,0
4,-254,-12,65,-39,3,-9,-1032,-17,0
7,-253,-3,69,-40,9,-10,-1027,-22,0
1,-252,5,75,-41,12,-12,-1027,-23,0
1,-249,-6,79,-41,17,-12,-1017,-26,0
4,-248,-9,82,-42,23,-17,-1016,-30,0
6,-248,-8,80,-44,25,-11,-1005,-23,0
2,-245,-12,78,-44,29,-8,-1006,-23,0
3,-245,-10,74,-48,29,-6,-998,-21,0
1,-247,-9,69,-52,29,-7,-996,-21,0
2,-245,-2,61,-57,29,-3,-1000,-17,0
3,-244,-3,56,-64,25,-8,-996,-19,0
3,-243,-6,50,-71,21,-10,-992,-16,0
-2,-245,-7,49,-80,15,-10,-992,-11,0
0,-243,-8,50,-91,9,-22,-991,-15,0
0,-243,-6,47,-102,2,-24,-989,-13,0
-4,-240,-5,48,-113,-4,-36,-982,-9,0
-6,-238,-6,49,-123,-15,-52,-979,-16,0
-11,-239,-4,46,-134,-24,-70,-974,-10,0
-17,-237,-2,48,-143,-34,-92,-978,-1,0
-24,-238,3,48,-155,-45,-114,-982,11,0
-22,-240,5,50,-169,-54,-109,-989,24,0
-16,-239,6,43,-180,-64,-86,-992,27,0
-5,-245,2,24,-189,-71,-54,-1001,31,0
0,-248,13,-10,-189,-72,-31,-1020,25,0
1,-252,-1,-52,-188,-67,-15,-1042,19,0
5,-256,1,-88,-189,-53,4,-1062,14,0
10,-262,-2,-111,-189,-37,16,-1090,10,0
12,-271,-3,-112,-186,-20,29,-1109,2,0
13,-277,-4,-91,-185,-2,35,-1126,-3,0
13,-275,-5,-55,-183,14,24,-1131,-21,0
11,-278,-10,-15,-182,31,22,-1127,-22,0
9,-272,-8,21,-183,48,15,-1111,-32,0
10,-268,-11,47,-186,59,4,-1098,-43,0
13,-258,-14,61,-189,67,-9,-1074,-45,0
1,-254,-20,61,-192,69,-17,-1064,-43,0
0,-250,-17,49,-196,71,-27,-1048,-42,0
0,-246,-14,34,-199,68,-28,-1017,-48,0
-5,-246,-15,17,-205,65,-35,-1007,-44,0
-3,-243,-11,6,-208,61,-49,-998,-43,0
-9,-238,-13,-1,-216,59,-50,-984,-45,0
-14,-237,-10,-4,-224,56,-65,-975,-46,0
-15,-232,-11,-4,-235,51,-69,-964,-43,0
-16,-231,-10,-6,-245,50,-86,-953,-44,0
-20,-230,-16,-11,-257,52,-85,-949,-41,0
-15,-230,-11,-21,-266,55,-85,-938,-47,0
-16,-225,-13,-40,-275,56,-83,-932,-42,0
-14,-222,-10,-63,-285,57,-75,-927,-42,0
-14,-227,-9,-89,-296,58,-73,-933,-35,0
-13,-230,-8,-117,-311,59,-76,-941,-26,0
-17,-232,-4,-140,-327,59,-85,-949,-23,0
-14,-234,-7,-166,-344,61,-88,-960,-20,0
-17,-234,-12,-189,-360,66,-92,-972,-31,0
-20,-235,-14,-212,-372,71,-103,-984,-54,0
-20,-238,-24,-230,-390,78,-107,-992,-68,0
-20,-246,-20,-244,-414,83,-116,-1004,-92,0
-31,-248,-36,-254,-444,88,-124,-1006,-115,0
-31,-246,-35,-258,-475,95,-138,-1013,-127,0
-35,-247,-39,-264,-503,100,-152,-1010,-145,0
-37,-246,-39,-270,-526,107,-166,-1006,-142,0
-41,-245,-40,-277,-545,111,-175,-1008,-138,0
-42,-246,-41,-286,-564,114,-174,-999,-140,0
-42,-243,-38,-294,-584,115,-183,-993,-138,0
-44,-241,-33,-296,-607,109,-184,-989,-135,0
-39,-239,-36,-296,-634,101,-172,-980,-123,0
-39,-232,-31,-295,-659,92,-173,-964,-115,0
-38,-230,-22,-293,-681,80,-165,-947,-106,0
-35,-225,-27,-291,-696,72,-144,-936,-94,0
-27,-220,-20,-289,-701,63,-124,-920,-73,0
-21,-220,-19,-289,-692,58,-108,-913,-67,0
-16,-217,-16,-294,-680,52,-91,-912,-60,0
-8,-217,-12,-307,-666,46,-63,-905,-42,0
0,-216,-11,-327,-653,40,-36,-901,-32,0
4,-218,-3,-346,-638,31,0,-919,2,0
15,-225,2,-363,-620,25,18,-927,18,0
18,-230,2,-372,-599,17,48,-941,26,0
24,-232,4,-373,-576,8,67,-952,27,0
30,-240,3,-370,-550,3,87,-971,33,0
31,-245,1,-369,-522,-4,109,-991,21,0
35,-244,0,-371,-495,-8,116,-1011,11,0
36,-249,1,-380,-473,-11,113,-1029,11,0
36,-253,1,-395,-455,-14,114,-1052,14,0
33,-259,-1,-409,-440,-23,98,-1067,17,0
27,-263,1,-420,-426,-32,81,-1081,18,0
24,-264,2,-427,-412,-43,65,-1096,27,0
16,-270,5,-432,-400,-55,50,-1107,31,0
14,-271,4,-429,-392,-72,28,-1112,35,0
6,-270,3,-420,-390,-87,6,-1117,38,0
5,-269,2,-406,-393,-104,-3,-1116,29,0
5,-273,1,-392,-400,-121,-21,-1116,24,0
-10,-269,3,-373,-411,-138,-47,-1117,17,0
-13,-270,4,-355,-426,-153,-67,-1107,22,0
-16,-269,5,-338,-448,-166,-88,-1109,27,0
-24,-268,6,-318,-477,-177,-109,-1104,26,0
-32,-262,9,-296,-512,-186,-132,-1086,37,0
-32,-262,13,-274,-549,-193,-158,-1079,56,0
-38,-260,14,-251,-592,-200,-181,-1074,60,0
-44,-259,13,-222,-637,-207,-200,-1067,68,0
-48,-257,15,-193,-682,-209,-210,-1056,75,0
-58,-253,12,-169,-726,-209,-221,-1049,73,0
-52,-255,16,-152,-767,-210,-224,-1041,73,0
-52,-249,16,-146,-809,-212,-224,-1027,75,0
-52,-247,14,-145,-852,-213,-225,-1017,77,0
-51,-246,17,-151,-899,-215,-220,-1014,81,0
-47,-245,13,-158,-944,-219,-218,-1011,80,0
-50,-244,19,-167,-991,-225,-213,-1010,81,0
-48,-251,20,-172,-1039,-230,-212,-1017,77,0
-48,-248,11,-175,-1086,-235,-213,-1011,74,0
-50,-246,15,-177,-1135,-242,-214,-1018,69,0
-46,-245,13,-175,-1179,-249,-207,-1009,58,0
-44,-247,10,-174,-1219,-255,-202,-1006,47,0
-43,-245,5,-177,-1254,-260,-195,-999,33,0
-43,-243,0,-188,-1287,-264,-190,-999,24,0
-42,-240,2,-205,-1317,-267,-182,-992,12,0
-44,-238,1,-230,-1344,-269,-185,-992,4,0
-43,-243,-1,-251,-1369,-270,-177,-993,0,0
-41,-238,-1,-269,-1394,-276,-176,-988,3,0
-39,-242,-4,-283,-1415,-281,-176,-988,6,0
-39,-241,-3,-292,-1433,-285,-175,-983,-4,0
-41,-240,-5,-297,-1450,-286,-183,-993,-3,0
-51,-239,-8,-296,-1465,-288,-197,-986,-12,0
-53,-237,-10,-295,-1480,-286,-218,-986,-18,0
-55,-240,-11,-290,-1498,-284,-236,-989,-30,0
-59,-240,-14,-282,-1517,-280,-257,-980,-44,0
-65,-239,-19,-273,-1533,-275,-283,-985,-58,0
-71,-241,-17,-257,-1553,-273,-306,-980,-67,0
-77,-240,-23,-235,-1569,-270,-331,-979,-77,0
-79,-235,-19,-210,-1593,-267,-346,-976,-77,0
-83,-234,-24,-182,-1616,-263,-358,-971,-74,0
-91,-234,-20,-155,-1639,-258,-374,-969,-60,0
-92,-239,-14,-129,-1656,-253,-404,-973,-37,0
-96,-236,-1,-108,-1665,-245,-405,-977,-26,0
-95,-237,-3,-90,-1666,-240,-390,-980,-1,0
-81,-239,1,-80,-1660,-237,-358,-981,8,0
-66,-238,0,-72,-1644,-243,-315,-984,8,0
-64,-240,1,-66,-1613,-255,-284,-975,15,0
-60,-238,1,-61,-1570,-274,-261,-985,16,0
-60,-236,5,-52,-1528,-299,-259,-978,22,0
-62,-238,1,-37,-1488,-328,-272,-961,28,0
-66,-229,1,-14,-1463,-353,-272,-959,8,0
-59,-227,-4,10,-1457,-375,-252,-941,-34,0
-59,-219,-29,15,-1455,-387,-242,-924,-92,0
-49,-215,-41,-9,-1459,-380,-228,-902,-187,0
-38,-208,-76,-71,-1465,-364,-177,-877,-281,0
-26,-200,-105,-174,-1460,-345,-122,-856,-397,0
-13,-198,-128,-323,-1420,-315,-64,-839,-489,0
0,-195,-148,-501,-1354,-287,-17,-825,-576,0
14,-197,-162,-678,-1270,-260,32,-839,-641,0
22,-203,-171,-836,-1193,-232,75,-854,-690,0
35,-215,-183,-960,-1130,-201,121,-883,-718,0
44,-225,-180,-1040,-1081,-171,145,-922,-721,0
49,-240,-172,-1062,-1035,-134,159,-970,-691,0
40,-258,-162,-1012,-983,-99,145,-1028,-634,0
35,-267,-132,-881,-933,-72,127,-1068,-546,0
39,-265,-99,-680,-914,-48,141,-1076,-420,0
50,-261,-69,-449,-957,-29,182,-1060,-277,0
67,-263,-48,-237,-1054,-7,248,-1067,-162,0
77,-261,-30,-77,-1163,2,291,-1076,-105,0
71,-265,-28,20,-1248,-3,266,-1097,-86,0
63,-270,-40,47,-1298,-24,217,-1129,-128,0
44,-280,-57,-8,-1314,-34,150,-1179,-208,0
26,-299,-73,-123,-1313,-58,79,-1252,-296,0
5,-319,-100,-267,-1303,-98,16,-1334,-363,0
-7,-345,-109,-398,-1285,-158,-30,-1415,-409,0
-10,-363,-110,-488,-1270,-234,-50,-1477,-431,0
-14,-374,-111,-526,-1256,-326,-70,-1527,-418,0
-13,-383,-106,-521,-1233,-424,-58,-1550,-405,0
-4,-382,-96,-489,-1199,-518,-35,-1548,-372,0
3,-370,-76,-442,-1169,-597,5,-1512,-307,0
8,-351,-61,-377,-1155,-651,33,-1449,-242,0
19,-339,-49,-299,-1161,-674,67,-1374,-170,0
30,-322,-40,-214,-1168,-666,92,-1312,-134,0
33,-310,-26,-127,-1168,-635,108,-1248,-98,0
37,-297,-21,-41,-1165,-585,119,-1191,-68,0
34,-277,-17,44,-1162,-533,120,-1145,-57,0
30,-271,-21,119,-1166,-489,112,-1097,-47,0
23,-257,-14,185,-1185,-456,83,-1061,-46,0
18,-247,-19,245,-1212,-431,56,-1004,-57,0
4,-230,-24,299,-1247,-413,21,-968,-74,0
-3,-221,-26,339,-1290,-407,-27,-915,-93,0
-6,-209,-31,359,-1338,-411,-59,-860,-111,0
-17,-193,-34,349,-1385,-427,-89,-814,-118,0
-22,-187,-39,314,-1420,-451,-110,-769,-140,0
-24,-174,-42,248,-1438,-475,-121,-733,-147,0
-26,-169,-46,160,-1437,-502,-117,-697,-164,0
-23,-157,-49,64,-1425,-536,-111,-659,-180,0
-11,-147,-54,-43,-1398,-564,-69,-634,-197,0
1,-138,-58,-164,-1354,-587,-27,-591,-225,0
11,-128,-62,-297,-1296,-606,22,-570,-235,0
6,-250,-27,54,15,-12,-1,-1012,-83,0
6,-245,-20,53,13,-10,-2,-1011,-79,0
4,-247,-23,53,12,-11,-2,-1013,-80,0
1,-250,-24,53,11,-10,-5,-1019,-77,0
6,-248,-21,54,10,-10,0,-1013,-71,0
2,-246,-23,54,10,-9,-1,-1015,-76,0
5,-251,-22,54,8,-6,-3,-1015,-75,0
4,-245,-16,52,8,-5,-2,-1018,-75,0
2,-248,-21,52,7,-5,-1,-1017,-78,0
7,-249,-24,51,9,-5,-3,-1020,-77,0
5,-247,-18,50,10,-5,-6,-1015,-76,0
3,-246,-22,51,10,-7,-9,-1011,-77,0
1,-249,-24,52,11,-9,-6,-1008,-77,0
4,-246,-25,53,12,-8,1,-1010,-78,0
5,-245,-21,53,12,-10,-1,-1013,-77,0
2,-246,-22,52,12,-12,-4,-1014,-73,0
2,-246,-23,51,12,-12,-3,-1010,-71,0
4,-247,-23,50,13,-11,-3,-1005,-76,0
2,-245,-23,50,14,-11,-3,-1013,-76,0
2,-247,-22,49,14,-12,0,-1011,-70,0
4,-251,-17,49,14,-12,-2,-1012,-81,0
3,-249,-23,49,14,-13,-3,-1018,-74,0
3,-248,-23,50,13,-13,-5,-1015,-75,0
4,-244,-24,52,13,-13,-8,-1020,-78,0
6,-252,-18,54,15,-11,-6,-1018,-85,0
4,-248,-22,55,15,-12,-9,-1017,-83,0
3,-246,-25,55,15,-11,-8,-1019,-77,0
4,-248,-25,56,16,-11,-1,-1018,-85,0
4,-248,-24,56,16,-11,-4,-1021,-79,0
6,-248,-20,56,16,-10,-6,-1014,-79,0
4,-247,-25,56,15,-11,-9,-1016,-87,0
3,-246,-25,56,14,-11,-7,-1006,-84,0
4,-251,-25,53,15,-8,-2,-1006,-78,0
1,-245,-24,51,16,-8,-3,-1010,-78,0
2,-244,-22,50,14,-7,-2,-1008,-77,0
4,-254,-30,48,14,-6,-1,-1015,-84,0
3,-245,-22,48,14,-6,-2,-1014,-77,0
3,-250,-23,47,13,-8,-1,-1011,-77,0
2,-247,-22,48,14,-8,-2,-1017,-80,0
5,-248,-27,47,12,-8,-3,-1019,-79,0
2,-247,-23,47,11,-10,-7,-1010,-77,0
1,-245,-28,48,9,-12,0,-1019,-80,0
1,-246,-22,49,9,-13,-5,-1013,-74,0
4,-249,-26,48,9,-13,-3,-1016,-77,0
4,-247,-20,47,9,-14,-1,-1016,-77,0
1,-246,-34,47,9,-14,-1,-1018,-82,0
5,-246,-24,47,9,-15,-3,-1015,-81,0
2,-245,-22,47,11,-15,-5,-1014,-81,0
1,-248,-25,44,11,-13,-5,-1018,-83,0
5,-249,-24,43,11,-14,-3,-1017,-85,0
5,-247,-23,43,12,-13,-2,-1008,-83,0
2,-248,-23,43,12,-13,-4,-1013,-81,0
3,-249,-24,42,12,-13,-1,-1015,-82,0
6,-245,-24,42,11,-13,-4,-1017,-76,0
2,-249,-24,42,11,-12,-5,-1015,-77,0
6,-251,-21,45,9,-12,-4,-1017,-74,0
4,-244,-17,47,10,-13,0,-1014,-83,0
1,-246,-28,47,9,-14,-5,-1022,-79,0
2,-246,-19,50,9,-14,-4,-1017,-78,0
3,-250,-27,52,9,-13,-5,-1020,-76,0
3,-248,-24,54,8,-13,-1,-1013,-83,0
3,-248,-23,55,8,-13,-7,-1018,-82,0
1,-245,-22,57,7,-15,-6,-1023,-87,0
4,-244,-24,57,9,-14,-9,-1013,-88,0
3,-244,-28,54,9,-12,-4,-1012,-94,0
4,-247,-26,51,8,-13,-5,-1010,-90,0
2,-247,-25,47,8,-12,-7,-1012,-88,0
0,-251,-30,44,8,-10,-3,-1009,-88,0
3,-249,-24,41,8,-12,-5,-1008,-89,0
3,-249,-24,39,9,-11,-5,-1016,-85,0
0,-244,-25,40,9,-10,-7,-1014,-86,0
3,-247,-24,40,9,-11,-5,-1012,-90,0
1,-245,-27,44,10,-12,-6,-1014,-83,0
1,-247,-26,46,11,-12,-10,-1020,-86,0
6,-248,-19,50,11,-13,-3,-1012,-82,0
7,-247,-23,53,10,-15,-9,-1018,-80,0
2,-245,-22,56,12,-15,-6,-1013,-82,0
1,-249,-24,57,11,-16,-5,-1013,-77,0
1,-246,-21,57,11,-15,0,-1008,-80,0
5,-247,-22,55,11,-15,-5,-1012,-83,0
4,-247,-23,54,11,-14,0,-1008,-81,0
1,-246,-19,52,12,-14,-5,-1011,-80,0
2,-249,-22,52,11,-14,-3,-1011,-79,0
4,-245,-20,50,10,-14,-1,-1012,-72,0
1,-247,-24,47,9,-13,-2,-1009,-75,0
2,-245,-22,46,9,-12,-1,-1011,-75,0
2,-246,-25,46,9,-12,-2,-1015,-74,0
2,-246,-19,46,10,-10,-2,-1012,-69,0
1,-252,-24,44,9,-11,1,-1017,-72,0
4,-249,-20,44,9,-10,-2,-1021,-69,0
4,-249,-22,43,9,-10,2,-1019,-72,0
3,-248,-22,42,9,-10,1,-1014,-75,0
5,-250,-19,40,9,-11,2,-1016,-70,0
4,-247,-19,38,10,-11,3,-1020,-73,0
3,-245,-20,38,9,-14,2,-1016,-75,0
4,-248,-20,37,11,-14,-2,-1018,-78,0
6,-250,-24,36,10,-13,-3,-1016,-76,0
3,-247,-25,36,10,-13,-4,-1013,-72,0
1,-249,-23,36,10,-15,-2,-1010,-78,0
4,-246,-27,37,11,-15,-1,-1018,-77,0
4,-249,-21,40,11,-14,-3,-1020,-76,0
1,-248,-22,41,13,-11,-5,-1011,-73,0
4,-248,-23,41,13,-9,-4,-1016,-76,0
3,-250,-22,42,13,-10,-8,-1016,-79,0
5,-249,-22,43,14,-11,-3,-1015,-76,0
3,-245,-23,43,15,-11,-5,-1013,-77,0
6,-247,-25,46,16,-13,-1,-1014,-79,0
2,-245,-24,50,17,-12,-3,-1013,-80,0
