x_acc,y_acc,z_acc,x_gyr,y_grc,z_grc,Azimuth,Pitch,Roll,Sisfall_Label_X4
37,-239,-41,-3,-4,-24,118,-978,-150,1
37,-239,-38,14,21,-38,122,-985,-143,1
39,-241,-40,39,39,-48,114,-987,-143,1
33,-241,-40,69,57,-54,114,-991,-134,1
32,-240,-39,97,71,-55,106,-990,-138,1
31,-242,-43,124,83,-55,95,-984,-137,1
30,-239,-44,148,91,-53,90,-984,-147,1
32,-242,-46,160,97,-49,82,-988,-151,1
23,-239,-44,163,99,-43,70,-982,-149,1
21,-239,-46,158,100,-34,58,-983,-161,1
17,-241,-45,150,94,-28,48,-982,-151,1
14,-241,-48,138,89,-20,40,-993,-166,1
14,-245,-48,124,84,-13,31,-1001,-169,1
11,-245,-48,108,81,-4,27,-1006,-172,1
8,-251,-47,96,77,4,20,-1021,-182,1
10,-248,-48,86,73,9,14,-1020,-181,1
7,-253,-52,83,70,13,16,-1030,-183,1
4,-251,-54,83,68,15,10,-1030,-184,1
5,-247,-51,86,66,17,10,-1022,-181,1
5,-250,-52,89,65,17,7,-1019,-181,1
6,-247,-52,91,66,15,6,-1013,-179,1
7,-249,-50,88,67,18,2,-1007,-183,1
6,-244,-50,81,66,16,9,-996,-178,1
6,-244,-50,71,66,15,5,-995,-192,1
5,-240,-48,59,66,13,9,-992,-178,1
5,-240,-51,48,65,10,11,-990,-188,1
5,-237,-48,39,64,9,12,-993,-182,1
5,-241,-50,32,62,4,9,-992,-183,1
5,-242,-52,26,60,3,8,-998,-193,1
11,-247,-42,20,57,-2,3,-998,-184,1
2,-243,-52,16,52,-8,3,-999,-181,1
4,-244,-46,16,50,-14,-1,-1003,-175,1
2,-246,-46,16,48,-15,1,-1009,-178,1
5,-246,-46,16,48,-21,-2,-1006,-170,1
2,-246,-50,17,51,-24,0,-1013,-168,1
6,-249,-45,19,54,-27,-2,-1013,-168,1
3,-246,-48,24,56,-28,1,-1015,-164,1
6,-246,-42,30,59,-32,1,-1008,-156,1
3,-245,-44,39,61,-28,5,-1007,-157,1
6,-244,-44,45,60,-25,-2,-1008,-151,1
6,-246,-48,54,57,-23,-2,-1006,-147,1
3,-243,-43,62,50,-18,5,-1000,-149,1
6,-241,-40,69,43,-13,-1,-992,-154,1
9,-243,-41,76,33,-9,2,-997,-141,1
65,-217,-99,4,8,-14,236,-892,-404,1
64,-222,-103,2,6,-15,238,-892,-405,1
64,-218,-103,0,7,-14,235,-897,-400,1
63,-219,-102,0,7,-14,243,-900,-395,1
66,-217,-106,0,7,-14,237,-884,-401,1
66,-215,-103,0,8,-14,239,-893,-398,1
64,-216,-103,1,8,-13,242,-896,-409,1
67,-222,-101,3,9,-15,237,-885,-410,1
65,-217,-101,4,9,-16,239,-900,-407,1
65,-217,-104,7,9,-17,238,-895,-411,1
63,-214,-107,7,9,-16,236,-899,-413,1
62,-216,-104,8,9,-15,233,-896,-411,1
63,-218,-108,8,10,-15,236,-899,-407,1
61,-217,-105,8,11,-16,236,-901,-413,1
61,-222,-104,6,13,-14,239,-902,-407,1
65,-219,-107,8,13,-15,238,-895,-408,1
63,-217,-104,12,13,-14,237,-895,-413,1
64,-218,-105,17,13,-14,231,-897,-407,1
64,-216,-104,19,11,-14,240,-896,-405,1
64,-215,-104,22,12,-14,236,-894,-407,1
64,-219,-102,24,11,-11,237,-893,-403,1
64,-218,-104,26,10,-11,238,-899,-405,1
65,-216,-105,29,9,-11,242,-888,-405,1
62,-213,-104,29,8,-12,237,-890,-402,1
62,-215,-105,30,8,-10,241,-891,-407,1
63,-216,-101,28,8,-8,238,-881,-408,1
64,-214,-104,24,7,-8,239,-884,-405,1
64,-217,-106,21,8,-9,235,-889,-410,1
62,-217,-104,19,5,-9,235,-894,-409,1
61,-217,-101,18,4,-9,225,-892,-407,1
63,-217,-105,17,2,-9,223,-889,-412,1
61,-215,-106,16,1,-9,227,-898,-410,1
59,-214,-105,15,0,-11,227,-889,-412,1
64,-216,-104,14,1,-12,232,-902,-411,1
64,-219,-109,14,2,-14,237,-903,-412,1
69,-218,-108,15,1,-15,234,-898,-409,1
64,-217,-104,18,3,-14,238,-898,-410,1
65,-217,-105,19,4,-16,241,-889,-411,1
64,-218,-103,20,5,-15,246,-900,-411,1
65,-216,-105,21,6,-15,243,-894,-399,1
65,-217,-105,21,6,-14,242,-891,-414,1
64,-218,-102,21,8,-15,242,-894,-410,1
65,-219,-108,19,8,-16,239,-892,-413,1
65,-216,-105,21,8,-17,238,-890,-414,1
64,-218,-105,21,7,-15,239,-893,-409,1
62,-219,-113,22,6,-16,238,-902,-411,1
63,-214,-113,23,5,-15,239,-897,-413,1
64,-214,-106,25,4,-15,240,-893,-413,1
64,-217,-105,26,3,-16,235,-889,-419,1
62,-217,-109,27,3,-16,239,-900,-413,1
